,time,appv,current,status,power
180,180,-3.9188697572715305e-16,0.0022128665208735574,-v,-8.671935685530054e-19
181,181,0.041868764994354914,0.0023223385209022868,+v,9.723344576899563e-05
182,182,0.08362277061412145,0.002425443856097845,+v,0.0002028223352159003
183,183,0.1251475720321836,0.0025219000212916994,+v,0.0003156096645725683
184,184,0.16632935265420662,0.002611442728608302,+v,0.0004343595785429539
185,185,0.20705523608201604,0.0026938266324440085,+v,0.0005577709093447165
186,186,0.24721359549995758,0.0027688260024817126,+v,0.0006844914313872786
187,187,0.28669435963624007,0.0028362353428999947,+v,0.0008131326754103858
188,188,0.32538931446063896,0.0028958699560827374,+v,0.0009422851397769225
189,189,0.3631923997916364,0.0029475664492870867,+v,0.0010705337322618898
190,190,0.39999999999999925,0.0029911831828836042,+v,0.0011964732731534395
191,191,0.43571122801202117,0.0030266006589426742,+v,0.001318723889809905
192,192,0.4702282018339782,0.0030537218491042506,+v,0.0014359461340054227
193,193,0.5034563128398698,0.0030724724608344675,+v,0.0015468556564337624
194,194,0.5353044850870855,0.0030828011413412543,+v,0.0016502372775915597
195,195,0.5656854249492372,0.0030846796185919085,+v,0.0017449583008754149
196,196,0.5945158603819148,0.003078102779047662,+v,0.001829980922029484
197,197,0.6217167691655763,0.0030630886819038783,+v,0.0019043735989809228
198,198,0.6472135954999577,0.003039678509798163,+v,0.0019673212574904224
199,199,0.6709364543563392,0.003007936456122844,+v,0.002018134220800233
200,200,0.6928203230275503,0.0029679495492519223,+v,0.002056255765442189
201,201,0.7128052193506939,0.002919827414165402,+v,0.0020812682204203385
202,202,0.7308363661140804,0.002863701972125345,+v,0.002092897542941813
203,203,0.7468643411977611,0.0027997270792278787,+v,0.0020910163205610614
204,204,0.7608452130361227,0.002728078104822669,+v,0.0020756451668429853
205,205,0.7727406610312546,0.002648951450956218,+v,0.002046952495251609
206,206,0.7825180805870442,0.0025625640141569233,+v,0.002005252673739507
207,207,0.79015067247611,0.0024691525910378012,+v,0.0019510025802546482
208,208,0.7956175162946186,0.0023689732293467004,+v,0.0018847965969012637
209,209,0.7989036278036591,0.002262300526243365,+v,0.0018073600975979512
210,210,0.8,0.0021494268757272237,+v,0.001719541500581779
211,211,0.7989036278036591,0.0020306616672791968,+v,0.001622302972831177
212,212,0.7956175162946189,0.0019063304379144342,+v,0.0015167098882503153
213,213,0.7901506724761105,0.0017767739799705799,+v,0.001403919155111809
214,214,0.7825180805870448,0.0016423474070774715,+v,0.0012851665406433729
215,215,0.7727406610312548,0.0015034191808687355,+v,0.0011617531316315743
216,216,0.7608452130361231,0.0013603701011033374,+v,0.001035031079381941
